Manufacturer;Name;Number of Rollers;FTF;BSF;BPFO;BPFI
DODGE;P4BTAF608 (A);27;0.54;10.48;12.28;14.71
DODGE;P4BTAF608 (B);18;0.42;3.18;7.63;10.36
DODGE;P4BTAF608R;27;0.45;5.22;12.28;14.71
DODGE;P4BTAF608RE (A);18;0.42;3.13;7.61;10.38
DODGE;P4BTAF608RE (B);27;0.54;10.48;12.28;14.71
DODGE;P4BTAF615 (A);27;0.54;10.48;12.28;14.71
DODGE;P4BTAF615 (B);20;0.43;3.49;8.62;11.37
DODGE;P4BTAF615R;27;0.45;5.22;12.28;14.71
DODGE;P4BTAF615RE (A);18;0.42;3.13;7.61;10.38
DODGE;P4BTAF615RE (B);27;0.54;10.48;12.28;14.71
DODGE;P4BTAF700 (A);27;0.54;10.48;12.28;14.71
DODGE;P4BTAF700 (B);20;0.43;3.49;8.62;11.37
DODGE;P4BTAF700R;27;0.45;5.22;12.28;14.71
DODGE;P4BTAF700RE (A);18;0.42;3.13;7.61;10.38
DODGE;P4BTAF700RE (B);27;0.54;10.48;12.28;14.71
DODGE;P4BTAF708;19;0.42;3.3;8.11;10.88
DODGE;P4BTAF708RE;19;0.42;3.3;8.11;10.88
DODGE;P4BTAF715;19;0.42;3.24;8.08;10.92
DODGE;P4BTAF800 (A);16;0.42;3.13;6.77;9.22
DODGE;P4BTAF800 (B);29;0.45;5.14;13.11;15.9
DODGE;P4BTAF800RE;19;0.42;3.24;8.08;10.92
DODGE;P4BTAF807;29;0.45;5.14;13.11;15.9
DODGE;P4BTAF808;20;0.44;4.22;8.84;11.15
DODGE;P4BTAF808RE;20;0.44;4.22;8.84;11.15
DODGE;P4BTAF815;29;0.45;5.21;13.13;15.86
DODGE;P4BTAF815RE;29;0.45;5.14;13.11;15.9
DODGE;P4BTAF900;29;0.45;5.14;13.11;15.9
DODGE;P4BTAF900RE;29;0.45;5.14;13.11;15.9
DODGE;P4BTAF907RE;27;0.44;4.74;12.11;14.88
DODGE;P4BTAF908;27;0.44;4.74;12.11;14.88
DODGE;P4BTAF908RE;27;0.44;4.74;12.11;14.88
DODGE;P4BTAF915;28;0.45;4.95;12.61;15.36
DODGE;P4BTAF915RE;28;0.45;4.95;12.61;15.36
DODGE;P4SB2115RE(SE);18;0.42;3.22;7.65;10.34
DODGE;P4SB2203R(S);19;0.42;3.36;8.13;10.86
DODGE;P4SB2204RE(SE);19;0.42;3.36;8.13;10.86
DODGE;P4SB2208R(S);18;0.42;3.18;7.63;10.36
DODGE;P4SB2211RE(SE);20;0.43;3.58;8.64;11.35
DODGE;P4SB2215R(S);20;0.43;3.58;8.64;11.35
DODGE;P4SB2300RE(SE);20;0.43;3.58;8.64;11.35
DODGE;P4SB2304R(S);18;0.42;3.18;7.63;10.36
DODGE;P4SB2307RE(SE);18;0.42;3.18;7.63;10.36
DODGE;P4SB2311R(S);18;0.42;3.17;7.63;10.36
DODGE;P4SB2315RE(SE);18;0.42;3.17;7.63;10.36
DODGE;P4SB2407R(S);17;0.41;3;7.13;9.86
DODGE;P4SB2408RE(SE);17;0.41;3;7.13;9.86
DODGE;P4SB2500R(S);18;0.42;3.19;7.64;10.35
DODGE;PB2SXRB008;8;0.36;2.05;3.07;4.92
DODGE;PB2SXRB010;8;0.36;2.05;3.07;4.92
DODGE;PB2SXRB012;8;0.38;2;3.05;4.94
DODGE;PB2SXRB015;9;0.39;2.35;3.58;5.41
DODGE;PB2SXRB100;9;0.39;2.35;3.58;5.41
DODGE;PB2SXRB102;9;0.39;2.32;3.57;5.42
DODGE;PB2SXRB104;9;0.39;2.33;3.57;5.42
DODGE;PB2SXRB104S;9;0.39;2.32;3.57;5.42
DODGE;PB2SXRB106;9;0.39;2.33;3.57;5.42
DODGE;PB2SXRB107;9;0.39;2.33;3.57;5.42
DODGE;PB2SXRB110;9;0.39;2.28;3.55;5.44
DODGE;PB2SXRB111;9;0.39;2.35;3.58;5.41
DODGE;PB2SXRB115;10;0.4;2.67;4.09;5.9
DODGE;PB2SXRB200;10;0.4;2.65;4.09;5.9
DODGE;PB2SXRB204;10;0.4;2.61;4.07;5.92
DODGE;PB2SXRB207;10;0.4;2.61;4.07;5.92
DODGE;PEB22431H;10;0.409568;2.674068;4.095677;5.904323
DODGE;SAF22513x2 3/16XT;18;0.42;3.13;7.61;10.38
DODGE;SAF22516x2 11/16XT;19;0.42;3.31;8.11;10.86
DODGE;SAF22517x2 15/16XT;18;0.42;3.13;7.61;10.38
DODGE;SAF22518x3 3/16XT;18;0.42;3.13;7.61;10.38
DODGE;SAF22520x3 7/16XT;18;0.42;3.13;7.64;10.38
DODGE;SAFS1000XT;28;0.45;5.02;12.63;15.36
DODGE;SAFS1007XT;28;0.45;5.02;12.63;15.36
DODGE;SAFS1008XT;28;0.45;5.02;12.63;15.36
DODGE;SAFS207XT (A);18;0.42;3.18;7.63;10.36
DODGE;SAFS207XT (B);21;0.56;8.06;9.24;11.75
DODGE;SAFS208XT (A);20;0.43;3.58;8.64;11.35
DODGE;SAFS208XT (B);21;0.56;8.06;9.24;11.75
DODGE;SAFS211XT (A);20;0.43;3.58;8.64;11.35
DODGE;SAFS211XT (B);20;0.43;3.75;8.7;11.29
DODGE;SAFS212XT (A);20;0.43;3.58;8.64;11.35
DODGE;SAFS212XT (B);20;0.43;3.75;8.7;11.29
DODGE;SAFS215XT (A);20;0.43;3.54;8.63;11.36
DODGE;SAFS215XT (B);18;0.42;3.13;7.61;10.38
DODGE;SAFS215XT (C);24;0.44;4.7;10.79;13.2
DODGE;SAFS300XT (A);20;0.43;3.58;8.64;11.35
DODGE;SAFS300XT (B);20;0.43;3.64;8.66;11.33
DODGE;SAFS303XT (A);19;0.42;3.32;8.11;10.88
DODGE;SAFS303XT (B);20;0.43;3.63;8.66;11.33
DODGE;SAFS307XT (A);18;0.42;3.18;7.63;10.36
DODGE;SAFS307XT (B);18;0.42;3.13;7.64;10.38
DODGE;SAFS307XT (C);26;0.45;5.15;11.81;14.18
DODGE;SAFS308XT (A);18;0.42;3.13;7.64;10.38
DODGE;SAFS308XT (B);26;0.54;10.23;11.79;14.2
DODGE;SAFS315XT (A);18;0.42;3.17;7.63;10.36
DODGE;SAFS315XT (B);19;0.43;3.48;8.18;10.81
DODGE;SAFS400XT (A);18;0.42;3.13;7.61;10.38
DODGE;SAFS400XT (B);17;0.41;2.95;7.11;9.9
DODGE;SAFS400XT (C);26;0.45;4.97;11.76;14.23
DODGE;SAFS403XT;18;0.42;3.13;7.61;10.38
DODGE;SAFS407XT (A);17;0.41;3;7.13;9.86
DODGE;SAFS407XT (B);19;0.43;3.55;8.2;10.79
DODGE;SAFS408XT (A);18;0.42;3.13;7.61;10.38
DODGE;SAFS408XT (B);18;0.42;3.19;7.64;10.35
DODGE;SAFS408XT (C);25;0.54;9.6;11.26;13.73
DODGE;SAFS415XT (A);18;0.42;3.19;7.64;10.35
DODGE;SAFS415XT (B);19;0.43;3.56;8.21;10.78
DODGE;SAFS500XT (A);18;0.42;3.19;7.64;10.35
DODGE;SAFS500XT (B);19;0.43;3.56;8.21;10.78
DODGE;SAFS503XT;18;0.42;3.13;7.61;10.38
DODGE;SAFS507XT (A);18;0.42;3.13;7.61;10.38
DODGE;SAFS507XT (B);32;0.53;12.58;14.76;17.21
DODGE;SAFS508XT;18;0.42;3.13;7.61;10.36
DODGE;SAFS515XT;18;0.41;2.95;7.61;9.9
DODGE;SAFS600XT (A);18;0.42;3.13;7.61;10.38
DODGE;SAFS600XT (B);32;0.53;12.58;14.76;17.21
DODGE;SAFS607XT (A);18;0.42;3.18;7.63;10.36
DODGE;SAFS607XT (B);27;0.45;5.22;12.28;14.71
DODGE;SAFS608XT;18;0.42;3.13;7.61;10.38
DODGE;SAFS615XT (A);18;0.42;3.13;7.61;10.38
DODGE;SAFS615XT (B);27;0.54;10.48;12.28;14.71
DODGE;SAFS700XT (A);20;0.43;3.49;8.62;11.37
DODGE;SAFS700XT (B);27;0.45;5.22;12.28;14.71
DODGE;SAFS708XT;19;0.42;3.24;8.08;10.92
DODGE;SAFS800XT (A);16;0.42;3.13;6.77;9.22
DODGE;SAFS800XT (B);29;0.45;5.14;13.11;15.9
DODGE;SAFS808XT;20;0.44;4.22;8.84;11.15
DODGE;SAFS815XT;29;0.45;5.21;13.13;15.86
DODGE;SAFS900XT;29;0.45;5.21;13.13;15.86
DODGE;SAFS907XT;27;0.44;4.68;12.08;14.88
DODGE;SAFS908XT;27;0.44;4.68;12.08;14.88
DODGE;SAFS915XT;20;0.43;3.58;8.66;11.33
DODGE;SC102;9;0.39;2.32;3.57;5.42
DODGE;SC104;9;0.39;2.33;3.57;5.42
DODGE;SC106;9;0.39;2.33;3.57;5.42
DODGE;SC108;9;0.39;2.28;3.55;5.44
DODGE;SC110;9;0.39;2.28;3.55;5.44
DODGE;SC112;9;0.39;2.35;3.58;5.41
DODGE;SC115;10;0.4;2.67;4.09;5.9
DODGE;SC200;10;0.4;2.67;4.09;5.9
DODGE;SC203;10;0.4;2.65;4.09;5.9
DODGE;SC204;10;0.4;2.65;4.09;5.9
DODGE;SC207;10;0.4;2.61;4.07;5.92
DODGE;SCHBSC102;9;0.39;2.32;3.57;5.42
DODGE;SCHBSC103;9;0.39;2.32;3.57;5.42
DODGE;SCHBSC104;9;0.39;2.33;3.57;5.42
DODGE;SCHBSC106;9;0.39;2.33;3.57;5.42
DODGE;SCHBSC107;9;0.39;2.33;3.57;5.42
DODGE;SCHBSC108;9;0.39;2.28;3.55;5.44
DODGE;SCHBSC110;9;0.39;2.28;3.55;5.44
DODGE;SCHBSC111;9;0.39;2.35;3.58;5.41
DODGE;SCHBSC112;9;0.39;2.35;3.58;5.41
DODGE;SCHBSC115;10;0.4;2.67;4.09;5.9
DODGE;SCHBSC200 (A);10;0.4;2.67;4.09;5.9
DODGE;SCHBSC200 (B);10;0.4;2.65;4.09;5.9
DODGE;SCHBSC203;10;0.4;2.65;4.09;5.9
DODGE;SCHBSC204 (A);10;0.4;2.65;4.09;5.9
DODGE;SCHBSC204 (B);10;0.4;2.61;4.07;5.92
DODGE;SCHBSC207;10;0.4;2.61;4.07;5.92
DODGE;SCHBSC215;11;0.41;2.88;4.57;6.42
DODGE;SCHBSXR102;9;0.39;2.32;3.57;5.42
DODGE;SCHBSXR103;9;0.39;2.32;3.57;5.42
DODGE;SCHBSXR104;9;0.39;2.33;3.57;5.42
DODGE;SCHBSXR106;9;0.39;2.33;3.57;5.42
DODGE;SCHBSXR107;9;0.39;2.33;3.57;5.42
DODGE;SCHBSXR108;9;0.39;2.28;3.55;5.44
DODGE;SCHBSXR110;9;0.39;2.28;3.55;5.44
DODGE;SCHBSXR111;9;0.39;2.35;3.58;5.41
DODGE;SCHBSXR112;9;0.39;2.35;3.58;5.41
DODGE;SCHBSXR115;10;0.4;2.67;4.09;5.9
DODGE;SCHBSXR200 (A);10;0.4;2.65;4.09;5.9
DODGE;SCHBSXR200 (B);10;0.4;2.67;4.09;5.9
DODGE;SCHBSXR203;10;0.4;2.65;4.09;5.9
DODGE;SCHBSXR204 (A);10;0.4;2.65;4.09;5.9
DODGE;SCHBSXR204 (B);10;0.4;2.61;4.07;5.92
DODGE;SCHBSXR207;10;0.4;2.61;4.07;5.92
DODGE;SCHBSXR215;11;0.41;2.88;4.57;6.42
DODGE;SCLFT008;8;0.38;2;3.05;4.94
DODGE;SCLFT008N/Lt;8;0.38;2;3.05;4.94
DODGE;SCLFT010;8;0.38;2;3.05;4.94
DODGE;SCLFT010N/Lt;8;0.38;2;3.05;4.94
DODGE;SCLFT012;8;0.38;2;3.05;4.94
DODGE;SCLFT014;9;0.39;2.35;3.58;5.41
DODGE;SCLFT014N/Lt;9;0.39;2.35;3.58;5.41
DODGE;SCLFT015N/Lt;9;0.39;2.35;3.58;5.41
DODGE;SCLFT100;9;0.39;2.35;3.58;5.41
DODGE;SCLFT101;9;0.39;2.32;3.57;5.42
DODGE;SCLFT101N/Lt;9;0.39;2.32;3.57;5.42
DODGE;SCLFT102N/Lt;9;0.39;2.32;3.57;5.42
DODGE;SCLFT103;9;0.39;2.32;3.57;5.42
DODGE;SCLFT104;9;0.39;2.33;3.57;5.42
DODGE;SCLFT104N/Lt;9;0.39;2.33;3.57;5.42
DODGE;SCLFT104SN/Lt;9;0.39;2.32;3.57;5.42
DODGE;SCLFT105;9;0.39;2.33;3.57;5.42
DODGE;SCLFT106;9;0.39;2.33;3.57;5.42
DODGE;SCLFT106N/Lt;9;0.39;2.33;3.57;5.42
DODGE;SCLFT107;9;0.39;2.33;3.57;5.42
DODGE;SCLFT107N/Lt;9;0.39;2.33;3.57;5.42
DODGE;SP2BE103;19;0.56;7.54;8.3;10.69
DODGE;SP2BE103R;19;0.56;7.54;8.3;10.69
DODGE;SP2BE104R;19;0.43;3.79;8.32;10.67
DODGE;SP2BE106;20;0.56;7.04;8.65;11.35
DODGE;SP2BE106R;20;0.43;3.52;8.66;11.33
DODGE;SP2BE107;20;0.56;7.04;8.65;11.35
DODGE;SP2BE107R;20;0.56;7.04;8.65;11.35
DODGE;SP2BE108R;18;0.43;3.37;7.74;10.25
DODGE;SP2BE110;18;0.57;6.79;7.73;10.26
DODGE;SP2BE110R;18;0.43;3.37;7.74;10.25
DODGE;SP2BE111;18;0.57;6.79;7.73;10.26
DODGE;SP2BE111R;18;0.57;6.79;7.73;10.26
DODGE;SP2BE112R;17;0.42;3.23;7.24;9.75
DODGE;SP2BE114;17;0.57;6.49;7.24;9.75
DODGE;SP2BE114R;17;0.42;3.23;7.24;9.75
DODGE;SP2BE115;17;0.57;6.49;7.24;9.75
DODGE;SP2BE115R;17;0.57;6.49;7.24;9.75
DODGE;SP2BE200R;17;0.42;3.23;7.24;9.75
DODGE;SP2BE203;19;0.56;7.29;8.24;10.75
DODGE;SP2BE203R;19;0.43;3.61;8.24;10.75
DODGE;SP2BE204;21;0.56;8.06;9.24;11.75
DODGE;SP2BE204R;21;0.56;8.06;9.24;11.75
DODGE;SP2BE207R;21;0.44;4.01;9.25;11.74
DODGE;SP2BE208;21;0.56;8.06;9.24;11.75
DODGE;SP2BE208R;21;0.44;4.01;9.25;11.74
DODGE;SP2BE211;24;0.55;9.46;10.76;13.21
DODGE;SP2BE211R (A);24;0.44;4.7;10.79;13.2
DODGE;SP2BE211R (B);24;0.55;9.46;10.76;13.21
DODGE;SP2BE212;24;0.55;9.46;10.76;13.21
DODGE;SP2BE212R;24;0.44;4.7;10.79;13.2
DODGE;SP2BE215;24;0.55;9.46;10.76;13.21
DODGE;SP2BE215R;24;0.44;4.7;10.79;13.2
DODGE;SP2BE300KRMS;24;0.44;4.7;10.79;13.2
DODGE;SP2BE300R (A);24;0.44;4.7;10.79;13.2
DODGE;SP2BE300R (B);24;0.55;9.46;10.76;13.21
DODGE;SP2BE303;26;0.54;10.23;11.79;14.2
DODGE;SP2BE303R;26;0.45;5.15;11.81;14.18
DODGE;SP2BE304;26;0.54;10.23;11.79;14.2
DODGE;SP2BE307R (A);26;0.45;5.15;11.81;14.18
DODGE;SP2BE307R (B);26;0.54;10.23;11.79;14.2
DODGE;SP2BE308;26;0.54;10.23;11.79;14.2
DODGE;SP2BE308R;26;0.45;5.15;11.81;14.18
DODGE;SP2BE315R;26;0.45;4.97;11.76;14.23
DODGE;SP2BE407R;25;0.45;4.8;11.28;13.71
DODGE;SP2BE408R;25;0.45;4.8;11.28;13.71
DODGE;SP2BE507R;32;0.46;6.26;14.79;17.2
DODGE;SP2BE515R;32;0.46;6.26;14.79;17.2
DODGE;SP2BE607R;27;0.45;5.22;12.28;14.71
DODGE;SP2BE608R;27;0.45;5.22;12.28;14.71
DODGE;SP2BE700R;27;0.45;5.22;12.28;14.71
DODGE;SP4BAS211;27;0.45;5.67;12.36;14.63
DODGE;SP4BAS211E;27;0.54;11.19;12.34;14.66
DODGE;SP4BAS215;27;0.54;11.19;12.34;14.66
DODGE;SP4BAS300 (A);27;0.45;5.67;12.36;14.63
DODGE;SP4BAS300 (B);27;0.54;11.19;12.34;14.66
DODGE;SP4BAS300E;27;0.45;5.67;12.36;14.63
DODGE;SP4BAS307;26;0.45;4.97;11.76;14.23
DODGE;SP4BAS307E;27;0.54;11.19;12.34;14.66
DODGE;SP4BAS308;26;0.54;9.88;11.74;14.25
DODGE;SP4BAS315 (A);33;0.45;6.01;15.17;17.82
DODGE;SP4BAS315 (B);33;0.54;11.99;15.16;17.63
DODGE;SP4BAS315E;33;0.45;6.01;15.17;17.82
DODGE;SP4BAS400;33;0.45;6.01;15.17;17.82
DODGE;SP4BAS400E;33;0.54;11.99;15.16;17.63
DODGE;SP4BAS407;29;0.54;10.75;13.19;15.8
DODGE;SP4BAS415;25;0.45;4.78;11.26;13.73
DODGE;SP4BAS415E;32;0.54;11.99;14.7;17.29
DODGE;SP4BAS500E;32;0.45;5.98;14.7;17.29
DODGE;SP4BAS507 (A);27;0.45;4.87;12.15;14.84
DODGE;SP4BAS507 (B);27;0.55;9.75;12.15;14.84
DODGE;SP4BAS507E;27;0.55;9.75;12.15;14.84
DODGE;SP4BAS515;26;0.45;4.84;11.7;14.29
DODGE;SP4BAS600;26;0.55;9.75;11.7;14.29
DODGE;SP4BAS600E;26;0.45;4.84;11.7;14.29
DODGE;SP4BAS700 (A);32;0.45;5.97;14.7;17.29
DODGE;SP4BAS700 (B);32;0.54;11.99;14.7;17.29
DODGE;SP4BAS700E;32;0.54;11.99;14.7;17.29
DODGE;SP4BAS708;27;0.45;5.07;12.21;14.78
DODGE;SP4BE100MR;26;0.54;9.68;11.74;14.25
DODGE;SP4BE125MR;25;0.55;9.52;11.24;13.75
DODGE;SP4BE150MR;32;0.53;12.58;14.76;17.21
DODGE;SP4BE180MR;32;0.53;12.58;14.76;17.21
DODGE;SP4BE211R;24;0.44;4.7;10.79;13.2
DODGE;SP4BE300R;24;0.44;4.7;10.79;13.2
DODGE;SP4BE308R;26;0.45;5.15;11.81;14.18
DODGE;SP4BE400;26;0.54;9.68;11.74;14.25
DODGE;SP4BE400R;26;0.45;4.97;11.76;14.23
DODGE;SP4BE407;25;0.54;9.6;11.26;13.73
DODGE;SP4BE407R;25;0.54;9.6;11.26;13.73
DODGE;SP4BE415;25;0.55;9.52;11.24;13.75
DODGE;SP4BE415R;25;0.45;4.78;11.26;13.73
DODGE;SP4BE507;32;0.53;12.58;14.76;17.21
DODGE;SP4BE507R;32;0.53;12.58;14.76;17.21
DODGE;SP4BE600;32;0.53;12.58;14.76;17.21
DODGE;SP4BE600R;32;0.46;6.26;14.79;17.2
DODGE;SP4BE607;27;0.54;10.48;12.28;14.71
DODGE;SP4BE607R;27;0.54;10.48;12.28;14.71
DODGE;SP4BE615;27;0.54;10.48;12.28;14.71
DODGE;SP4BE615R;27;0.45;5.22;12.28;14.71
DODGE;SP4BE700;27;0.54;10.48;12.28;14.71
DODGE;SP4BE700R;27;0.54;10.48;12.28;14.71
DODGE;STUSXV015;9;0.39;2.35;3.58;5.41
DODGE;STUSXV100;9;0.39;2.35;3.58;5.41
DODGE;STUSXV102;9;0.39;2.32;3.57;5.42
DODGE;STUSXV103;9;0.39;2.32;3.57;5.42
DODGE;STUSXV107;9;0.39;2.33;3.57;5.42
DODGE;STUSXV108;9;0.39;2.28;3.55;5.44
DODGE;STUSXV115;10;0.4;2.67;4.09;5.9
DODGE;STUSXV200;10;0.4;2.67;4.09;5.9
DODGE;STUSXV203;10;0.4;2.65;4.09;5.9
DODGE;STUSXV204;10;0.4;2.61;4.07;5.92
DODGE;STUSXV207;10;0.4;2.61;4.07;5.92
DODGE;STUSXV211;10;0.4;2.65;4.08;5.91
DODGE;STUSXV215;11;0.41;2.88;4.57;6.42
DODGE;STUSXV35M;9;0.39;2.33;3.57;5.42
DODGE;STUSXV40M;9;0.39;2.28;3.55;5.44
DODGE;STUSXV50M;10;0.4;2.67;4.09;5.9
DODGE;STUSXV55M;10;0.4;2.65;4.09;5.9
DODGE;STUSXV70M;10;0.4;2.65;4.08;5.91
DODGE;STUSXV75M;11;0.41;2.88;4.57;6.42
DODGE;SXR103;9;0.39;2.32;3.57;5.42
DODGE;SXR104;9;0.39;2.33;3.57;5.42
DODGE;SXR107;9;0.39;2.33;3.57;5.42
DODGE;SXR108;9;0.39;2.28;3.55;5.44
DODGE;SXR111;9;0.39;2.35;3.58;5.41
DODGE;SXR112;9;0.39;2.35;3.58;5.41
DODGE;SXR200;10;0.4;2.65;4.09;5.9
DODGE;SXR204;10;0.4;2.61;4.07;5.92
DODGE;SXR215;11;0.41;2.88;4.57;6.42
DODGE;TBDL008L;8;0.38;2;3.05;4.94
DODGE;TBDL010;8;0.38;2;3.05;4.94
DODGE;TBDL010L;8;0.38;2;3.05;4.94
DODGE;TBDL012;8;0.36;2;3.05;4.94
DODGE;TBDL014;9;0.39;2.35;3.58;5.41
DODGE;TBDL015;9;0.39;2.35;3.58;5.41
DODGE;TBDL100;9;0.39;2.35;3.58;5.41
DODGE;TBDL102;9;0.39;2.32;3.57;5.42
DODGE;TBDL103;9;0.39;2.32;3.57;5.42
DODGE;TBDL104;9;0.39;2.33;3.57;5.42
DODGE;TBDL104S;9;0.39;2.32;3.57;5.42
DODGE;TBDL105;9;0.39;2.33;3.57;5.42
DODGE;TBDL106;9;0.39;2.33;3.57;5.42
DODGE;TBDL107;9;0.39;2.33;3.57;5.42
DODGE;TBDL108;9;0.39;2.28;3.55;5.44
DODGE;TBDL110 (A);9;0.39;2.28;3.55;5.44
DODGE;TBDL110 (B);9;0.39;2.35;3.58;5.41
DODGE;TBDL110L;9;0.39;2.35;3.58;5.41
DODGE;TBDL111;9;0.39;2.35;3.58;5.41
DODGE;TBDL112;9;0.39;2.35;3.58;5.41
DODGE;TBDL115;10;0.4;2.67;4.09;5.9
DODGE;TBDL200 (A);10;0.4;2.67;4.09;5.9
DODGE;TBDL200 (B);10;0.4;2.65;4.09;5.9
DODGE;TBDL200L;10;0.4;2.65;4.09;5.9
DODGE;TBDL203;10;0.4;2.65;4.09;5.9
DODGE;TBDL204;10;0.4;2.65;4.09;5.9
DODGE;TBDL20ML;8;0.38;2;3.05;4.94
DODGE;TBDL25M;9;0.39;2.35;3.58;5.41
DODGE;TBDL30M;9;0.39;2.32;3.57;5.42
DODGE;TBDL35M;9;0.39;2.33;3.57;5.42
DODGE;TBDL40M;9;0.39;2.28;3.55;5.44
DODGE;TBDL45M;9;0.39;2.35;3.58;5.41
DODGE;TBDL50M;10;0.4;2.67;4.09;5.9
DODGE;TBDL55M;10;0.4;2.65;4.09;5.9
DODGE;TBDLEZ008L;8;0.38;2;3.05;4.94
DODGE;TBDLEZ010L;8;0.38;2;3.05;4.94
DODGE;TBDLEZ010PCR;8;0.38;2;3.05;4.94
DODGE;TBDLEZ012PCR;8;0.36;2;3.05;4.94
DODGE;TBDLEZ014;9;0.39;2.35;3.58;5.41
DODGE;TBDLEZ015;9;0.39;2.35;3.58;5.41
DODGE;TBDLEZ015PCR;9;0.39;2.35;3.58;5.41
DODGE;TBDLEZ100;9;0.39;2.35;3.58;5.41
DODGE;TBDLEZ100PCR;9;0.39;2.35;3.58;5.41
DODGE;TBDLEZ102;9;0.39;2.32;3.57;5.42
DODGE;TBDLEZ103;9;0.39;2.32;3.57;5.42
DODGE;TBDLEZ103KRMS;9;0.39;2.32;3.57;5.42
DODGE;TBDLEZ103PCR;9;0.39;2.32;3.57;5.42
DODGE;TBDLEZ104;9;0.39;2.33;3.57;5.42
DODGE;TBDLEZ104PCR;9;0.39;2.33;3.57;5.42
DODGE;TBDLEZ105;9;0.39;2.33;3.57;5.42
DODGE;TBDLEZ105PCR;9;0.39;2.33;3.57;5.42
DODGE;TBDLEZ106;9;0.39;2.33;3.57;5.42
DODGE;TBDLEZ106PCR;9;0.39;2.33;3.57;5.42
DODGE;TBDLEZ107;9;0.39;2.33;3.57;5.42
DODGE;TBDLEZ108PCR;9;0.39;2.28;3.55;5.44
DODGE;TBDLEZ110PCR;9;0.39;2.35;3.58;5.41
DODGE;TBDLEZ111PCR;9;0.39;2.35;3.58;5.41
DODGE;TBDLEZ115PCR;10;0.4;2.67;4.09;5.9
DODGE;TBDLEZ200PCR (A);10;0.4;2.67;4.09;5.9
DODGE;TBDLEZ200PCR (B);10;0.4;2.65;4.09;5.9
DODGE;TBDLEZ204PCR;10;0.4;2.65;4.09;5.9
DODGE;TBDLEZ20ML;8;0.38;2;3.05;4.94
DODGE;TBDLEZ20MPCR;8;0.36;2;3.05;4.94
DODGE;TBDLEZ30MPCR;9;0.39;2.32;3.57;5.42
DODGE;TBDLEZ35MPCR;9;0.39;2.33;3.57;5.42
DODGE;TBDLEZ45MPCR;9;0.39;2.35;3.58;5.41
DODGE;TBDLEZ55MPCR;10;0.4;2.65;4.09;5.9
DODGE;TBDLU008;8;0.38;2;3.05;4.94
DODGE;TBDLU010;8;0.38;2;3.05;4.94
DODGE;TBDLU012;8;0.38;2;3.05;4.94
DODGE;TBDLUEZ010;8;0.38;2;3.05;4.94
DODGE;TBDLUEZ012;8;0.38;2;3.05;4.94
DODGE;TBDLUEZ102;9;0.39;2.32;3.57;5.42
DODGE;TBDLUEZ103;9;0.39;2.32;3.57;5.42
DODGE;TBSC008;8;0.38;2;3.05;4.94
DODGE;TBSC008L;8;0.38;2;3.05;4.94
DODGE;TBSC010L;8;0.38;2;3.05;4.94
DODGE;TBSC012;8;0.36;2;3.05;4.94
DODGE;TBSC014;9;0.39;2.35;3.58;5.41
DODGE;TBSC015;9;0.39;2.35;3.58;5.41
DODGE;TBSC100;9;0.39;2.35;3.58;5.41
DODGE;TBSC102;9;0.39;2.32;3.57;5.42
DODGE;TBSC103;9;0.39;2.32;3.57;5.42
DODGE;TBSC104;9;0.39;2.33;3.57;5.42
DODGE;TBSC104S;9;0.39;2.32;3.57;5.42
DODGE;TBSC105;9;0.39;2.33;3.57;5.42
DODGE;TBSC106;9;0.39;2.33;3.57;5.42
DODGE;TBSC107;9;0.39;2.33;3.57;5.42
DODGE;TBSC108;9;0.39;2.28;3.55;5.44
DODGE;TBSC110;9;0.39;2.28;3.55;5.44
DODGE;TBSC110L;9;0.39;2.35;3.58;5.41
DODGE;TBSC111;9;0.39;2.35;3.58;5.41
DODGE;TBSC112;9;0.39;2.35;3.58;5.41
DODGE;TBSC115;10;0.4;2.67;4.09;5.9
DODGE;TBSC200 (A);10;0.4;2.67;4.09;5.9
DODGE;TBSC200 (B);10;0.4;2.65;4.09;5.9
DODGE;TBSC200L;10;0.4;2.65;4.09;5.9
DODGE;TBSC203;10;0.4;2.65;4.09;5.9
DODGE;TBSC204;10;0.4;2.65;4.09;5.9
DODGE;TBSC20M;8;0.36;2;3.05;4.94
DODGE;TBSC20ML;8;0.38;2;3.05;4.94
DODGE;TBSC25M;9;0.39;2.35;3.58;5.41
DODGE;TBSC30M;9;0.39;2.32;3.57;5.42
DODGE;TBSC35M;9;0.39;2.33;3.57;5.42
DODGE;TBSC40M;9;0.39;2.28;3.55;5.44
DODGE;TBSC45M;9;0.39;2.35;3.58;5.41
DODGE;TBSC50M;10;0.4;2.67;4.09;5.9
DODGE;TBSC55M;10;0.4;2.65;4.09;5.9
DODGE;TBSC55MKRMS;10;0.4;2.65;4.09;5.9
DODGE;TBSCEZ008LPCR;8;0.38;2;3.05;4.94
DODGE;TBSCEZ008PCR;8;0.38;2;3.05;4.94
DODGE;TBSCEZ010LPCR;8;0.38;2;3.05;4.94
DODGE;TBSCEZ012PCR;8;0.36;2;3.05;4.94
DODGE;TBSCEZ014PCR;9;0.39;2.35;3.58;5.41
DODGE;TBSCEZ015PCR;9;0.39;2.35;3.58;5.41
DODGE;TBSCEZ100PCR;9;0.39;2.35;3.58;5.41
